event_id,session_id,user_id,event_timestamp,stage_name,event_status,source,device,region,product
E00000101,S000001,U000179,2025-05-20 15:42:34,Website Visit,Completed,Email,Desktop,North,Insurance Plan
E00000102,S000001,U000179,2025-05-20 15:45:38,Product Page Viewed,Completed,Email,Desktop,North,Insurance Plan
E000001XX,S000001,U000179,2025-05-20 15:45:38,Product Page Viewed,Dropped Off,Email,Desktop,North,Insurance Plan
E00000201,S000002,U001109,2025-06-09 01:31:53,Website Visit,Completed,Email,Desktop,West,Credit Card
E00000202,S000002,U001109,2025-06-09 01:43:05,Product Page Viewed,Completed,Email,Desktop,West,Credit Card
E00000203,S000002,U001109,2025-06-09 02:12:07,Calculator Used,Completed,Email,Desktop,West,Credit Card
E00000204,S000002,U001109,2025-06-09 02:24:38,CTA Clicked,Completed,Email,Desktop,West,Credit Card
E00000205,S000002,U001109,2025-06-09 02:34:37,Lead Form Started,Completed,Email,Desktop,West,Credit Card
E00000206,S000002,U001109,2025-06-09 03:01:48,Lead Form Submitted,Completed,Email,Desktop,West,Credit Card
E00000301,S000003,U000741,2025-01-14 11:16:09,Website Visit,Completed,Organic Search,Mobile,East,Personal Loan
E00000302,S000003,U000741,2025-01-14 11:36:43,Product Page Viewed,Completed,Organic Search,Mobile,East,Personal Loan
E000003XX,S000003,U000741,2025-01-14 11:36:43,Product Page Viewed,Dropped Off,Organic Search,Mobile,East,Personal Loan
E00000401,S000004,U001665,2025-02-05 19:19:03,Website Visit,Completed,Email,Desktop,West,Savings Account
E00000402,S000004,U001665,2025-02-05 19:22:46,Product Page Viewed,Completed,Email,Desktop,West,Savings Account
E00000403,S000004,U001665,2025-02-05 19:39:52,Calculator Used,Completed,Email,Desktop,West,Savings Account
E00000404,S000004,U001665,2025-02-05 19:56:37,CTA Clicked,Completed,Email,Desktop,West,Savings Account
E00000405,S000004,U001665,2025-02-05 19:59:38,Lead Form Started,Completed,Email,Desktop,West,Savings Account
E00000406,S000004,U001665,2025-02-05 20:16:33,Lead Form Submitted,Completed,Email,Desktop,West,Savings Account
E00000501,S000005,U001590,2025-02-24 14:28:05,Website Visit,Completed,Paid Ads,Mobile,South,Insurance Plan
E00000502,S000005,U001590,2025-02-24 14:37:56,Product Page Viewed,Completed,Paid Ads,Mobile,South,Insurance Plan
E000005XX,S000005,U001590,2025-02-24 14:37:56,Product Page Viewed,Dropped Off,Paid Ads,Mobile,South,Insurance Plan
E00000601,S000006,U000334,2025-03-02 00:32:42,Website Visit,Completed,Organic Search,Desktop,East,Personal Loan
E00000602,S000006,U000334,2025-03-02 00:43:11,Product Page Viewed,Completed,Organic Search,Desktop,East,Personal Loan
E00000603,S000006,U000334,2025-03-02 00:47:01,Calculator Used,Completed,Organic Search,Desktop,East,Personal Loan
E00000604,S000006,U000334,2025-03-02 00:57:24,CTA Clicked,Completed,Organic Search,Desktop,East,Personal Loan
E00000605,S000006,U000334,2025-03-02 01:26:16,Lead Form Started,Completed,Organic Search,Desktop,East,Personal Loan
E00000606,S000006,U000334,2025-03-02 01:37:27,Lead Form Submitted,Completed,Organic Search,Desktop,East,Personal Loan
E00000701,S000007,U001817,2025-03-31 16:47:34,Website Visit,Completed,Paid Ads,Tablet,West,Savings Account
E00000702,S000007,U001817,2025-03-31 17:01:38,Product Page Viewed,Completed,Paid Ads,Tablet,West,Savings Account
E00000703,S000007,U001817,2025-03-31 17:27:22,Calculator Used,Completed,Paid Ads,Tablet,West,Savings Account
E00000704,S000007,U001817,2025-03-31 17:28:16,CTA Clicked,Completed,Paid Ads,Tablet,West,Savings Account
E00000705,S000007,U001817,2025-03-31 17:51:06,Lead Form Started,Completed,Paid Ads,Tablet,West,Savings Account
E00000706,S000007,U001817,2025-03-31 18:06:03,Lead Form Submitted,Completed,Paid Ads,Tablet,West,Savings Account
E00000801,S000008,U001439,2025-04-30 10:22:12,Website Visit,Completed,Direct,Desktop,West,Personal Loan
E00000802,S000008,U001439,2025-04-30 10:39:46,Product Page Viewed,Completed,Direct,Desktop,West,Personal Loan
E00000803,S000008,U001439,2025-04-30 10:58:16,Calculator Used,Completed,Direct,Desktop,West,Personal Loan
E00000804,S000008,U001439,2025-04-30 11:16:07,CTA Clicked,Completed,Direct,Desktop,West,Personal Loan
E00000805,S000008,U001439,2025-04-30 11:25:11,Lead Form Started,Completed,Direct,Desktop,West,Personal Loan
E000008XX,S000008,U001439,2025-04-30 11:25:11,Lead Form Started,Dropped Off,Direct,Desktop,West,Personal Loan
E00000901,S000009,U000046,2025-01-28 23:00:19,Website Visit,Completed,Direct,Desktop,North,Credit Card
E00000902,S000009,U000046,2025-01-28 23:11:26,Product Page Viewed,Completed,Direct,Desktop,North,Credit Card
E00000903,S000009,U000046,2025-01-28 23:36:16,Calculator Used,Completed,Direct,Desktop,North,Credit Card
E00000904,S000009,U000046,2025-01-28 23:36:53,CTA Clicked,Completed,Direct,Desktop,North,Credit Card
E00000905,S000009,U000046,2025-01-29 00:03:48,Lead Form Started,Completed,Direct,Desktop,North,Credit Card
E00000906,S000009,U000046,2025-01-29 00:20:14,Lead Form Submitted,Completed,Direct,Desktop,North,Credit Card
E00001001,S000010,U000281,2025-02-24 13:17:48,Website Visit,Completed,Organic Search,Desktop,South,Savings Account
E00001002,S000010,U000281,2025-02-24 13:42:06,Product Page Viewed,Completed,Organic Search,Desktop,South,Savings Account
E00001003,S000010,U000281,2025-02-24 13:48:26,Calculator Used,Completed,Organic Search,Desktop,South,Savings Account
E00001004,S000010,U000281,2025-02-24 14:17:02,CTA Clicked,Completed,Organic Search,Desktop,South,Savings Account
E00001005,S000010,U000281,2025-02-24 14:36:11,Lead Form Started,Completed,Organic Search,Desktop,South,Savings Account
E000010XX,S000010,U000281,2025-02-24 14:36:11,Lead Form Started,Dropped Off,Organic Search,Desktop,South,Savings Account
E00001101,S000011,U000582,2025-04-22 12:21:40,Website Visit,Completed,Paid Ads,Tablet,North,Personal Loan
E00001102,S000011,U000582,2025-04-22 12:41:37,Product Page Viewed,Completed,Paid Ads,Tablet,North,Personal Loan
E000011XX,S000011,U000582,2025-04-22 12:41:37,Product Page Viewed,Dropped Off,Paid Ads,Tablet,North,Personal Loan
E00001201,S000012,U001772,2025-01-18 17:40:43,Website Visit,Completed,Paid Ads,Tablet,South,Personal Loan
E00001202,S000012,U001772,2025-01-18 17:53:54,Product Page Viewed,Completed,Paid Ads,Tablet,South,Personal Loan
E00001203,S000012,U001772,2025-01-18 17:58:30,Calculator Used,Completed,Paid Ads,Tablet,South,Personal Loan
E00001204,S000012,U001772,2025-01-18 18:26:33,CTA Clicked,Completed,Paid Ads,Tablet,South,Personal Loan
E000012XX,S000012,U001772,2025-01-18 18:26:33,CTA Clicked,Dropped Off,Paid Ads,Tablet,South,Personal Loan
E00001301,S000013,U000028,2025-02-01 05:30:42,Website Visit,Completed,Organic Search,Desktop,North,Credit Card
E00001302,S000013,U000028,2025-02-01 05:42:49,Product Page Viewed,Completed,Organic Search,Desktop,North,Credit Card
E000013XX,S000013,U000028,2025-02-01 05:42:49,Product Page Viewed,Dropped Off,Organic Search,Desktop,North,Credit Card
