session_id,user_id,session_start,session_date,source,device,region,age_band,income_band,product,is_returning_user,page_views,session_duration_seconds,completed_stage,product_page_viewed,calculator_used,cta_clicked,form_started,form_submitted,exit_page,exit_reason,estimated_opportunity_value
S000001,U000179,2025-05-20 15:42:34,2025-05-20,Email,Desktop,North,45-54,50K-100K,Insurance Plan,1,6,1010,Product Page Viewed,1,0,0,0,0,Product Page Viewed,High interest-rate concern,5699
S000002,U001109,2025-06-09 01:31:53,2025-06-09,Email,Desktop,West,55+,100K+,Credit Card,0,10,245,Lead Form Submitted,1,1,1,1,1,,,0
S000003,U000741,2025-01-14 11:16:09,2025-01-14,Organic Search,Mobile,East,35-44,25K-50K,Personal Loan,0,8,845,Product Page Viewed,1,0,0,0,0,Product Page Viewed,Unclear product value,76835
S000004,U001665,2025-02-05 19:19:03,2025-02-05,Email,Desktop,West,25-34,50K-100K,Savings Account,1,1,306,Lead Form Submitted,1,1,1,1,1,,,0
S000005,U001590,2025-02-24 14:28:05,2025-02-24,Paid Ads,Mobile,South,25-34,Below 25K,Insurance Plan,0,1,1103,Product Page Viewed,1,0,0,0,0,Product Page Viewed,High interest-rate concern,9572
S000006,U000334,2025-03-02 00:32:42,2025-03-02,Organic Search,Desktop,East,35-44,Below 25K,Personal Loan,0,6,544,Lead Form Submitted,1,1,1,1,1,,,0
S000007,U001817,2025-03-31 16:47:34,2025-03-31,Paid Ads,Tablet,West,25-34,25K-50K,Savings Account,1,6,1085,Lead Form Submitted,1,1,1,1,1,,,0
S000008,U001439,2025-04-30 10:22:12,2025-04-30,Direct,Desktop,West,25-34,Below 25K,Personal Loan,0,3,406,Lead Form Started,1,1,1,1,0,Lead Form Started,Technical issue,97340
S000009,U000046,2025-01-28 23:00:19,2025-01-28,Direct,Desktop,North,35-44,100K+,Credit Card,0,7,576,Lead Form Submitted,1,1,1,1,1,,,0
S000010,U000281,2025-02-24 13:17:48,2025-02-24,Organic Search,Desktop,South,35-44,50K-100K,Savings Account,1,8,1101,Lead Form Started,1,1,1,1,0,Lead Form Started,Document requirement concern,13110
S000011,U000582,2025-04-22 12:21:40,2025-04-22,Paid Ads,Tablet,North,25-34,100K+,Personal Loan,0,2,902,Product Page Viewed,1,0,0,0,0,Product Page Viewed,High interest-rate concern,99992
S000012,U001772,2025-01-18 17:40:43,2025-01-18,Paid Ads,Tablet,South,45-54,Below 25K,Personal Loan,1,9,450,CTA Clicked,1,1,1,0,0,CTA Clicked,Not ready to apply,112573
S000013,U000028,2025-02-01 05:30:42,2025-02-01,Organic Search,Desktop,North,35-44,50K-100K,Credit Card,1,11,968,Product Page Viewed,1,0,0,0,0,Product Page Viewed,Unclear product value,23198
S000014,U000265,2025-03-29 12:12:03,2025-03-29,Social Media,Mobile,Central,35-44,50K-100K,Personal Loan,1,8,872,Product Page Viewed,1,0,0,0,0,Product Page Viewed,Unclear product value,109270
S000015,U001569,2025-06-02 00:25:41,2025-06-02,Organic Search,Desktop,West,35-44,50K-100K,Personal Loan,0,10,730,Lead Form Started,1,1,1,1,0,Lead Form Started,Document requirement concern,87536
